Índice;Título;Link;Data;Conteúdo;Fonte;Palavras-chave;Tema;Sentimento;Relevância;cluster
1;Incertezas e negligências na recuperação imediata do <b>aeroporto</b> - Acontece no RS;https://www.google.com/url?rct=j&sa=t&url=https://www.acontecenors.com.br/noticia/194144/incertezas-e-negligencias-na-recuperacao-imediata-do-aeroporto&ct=ga&cd=CAIyHTdmNGQxNWUzZTA0NDM1Nzk6Y29tLmJyOnB0OkJS&usg=AOvVaw1WPHYLB4CJ1fl89k6mI8hd;2024-06-02;A concessionária alemã Fraport AG não está participando dos reparos e diz que poderá solicitar revisão do contrato.;AEROPORTO & CONCESSÃO ;imediata aeroporto, aeroporto acontece, recuperação imediata, na recuperação;Outro tema;Neutro;7,2;Outro tema - 2024-06-02
2;Operação da Polícia Civil apreende armas e 70 kg de fios furtados em Rio Brilhante;https://www.google.com/url?rct=j&sa=t&url=https://midiamax.uol.com.br/policia/2024/operacao-prende-quadrilha-envolvida-com-furto-e-receptacao-de-fios-em-rio-brilhante/&ct=ga&cd=CAIyHWJhM2UyOTQ5Y2JmZmY4NmM6Y29tLmJyOnB0OkJS&usg=AOvVaw0hBEOId2YMagTBiX7zCLnr;2024-06-02;Explosão e morte em <b>subestação</b> de <b>energia</b> ... Os furtos de fio, além de crime, colocam em risco a vida de quem infringe a lei em busca desses materiais.;SUBESTAÇÃO & ENERGIA;rio brilhante, rio, 70 kg, em rio;energia;Neutro;5,6;energia - 2024-06-02
3;Transformação à luz do sol: como a Arábia Saudita investe em <b>energia</b> solar para um futuro ...;https://www.google.com/url?rct=j&sa=t&url=https://oglobo.globo.com/economia/negocios/noticia/2024/06/01/transformacao-a-luz-do-sol-como-a-arabia-saudita-investe-em-energia-solar-para-um-futuro-sem-petroleo.ghtml&ct=ga&cd=CAIyHTIxYjBiOThjNDY0ZjBhNWI6Y29tLmJyOnB0OkJS&usg=AOvVaw1fiZvvrI2qjU9myPzr4itZ;2024-06-02;"O reino árabe está tentando equilibrar sua ainda vital indústria de petróleo com fontes de <b>energia</b> alternativas, como a eólica e a solar, à medida&nbsp;...";ENERGIA & FOTOVOLTAICA;saudita investe, como arábia, transformação luz, energia solar;energia;Positivo;5,2;energia - 2024-06-02
4;Transformação à luz do sol: como a Arábia Saudita investe em <b>energia</b> solar para um futuro ...;https://www.google.com/url?rct=j&sa=t&url=https://oglobo.globo.com/economia/negocios/noticia/2024/06/01/transformacao-a-luz-do-sol-como-a-arabia-saudita-investe-em-energia-solar-para-um-futuro-sem-petroleo.ghtml&ct=ga&cd=CAIyHTIxYjBiOThjNDY0ZjBhNWI6Y29tLmJyOnB0OkJS&usg=AOvVaw1fiZvvrI2qjU9myPzr4itZ;2024-06-02;"O reino árabe está tentando equilibrar sua ainda vital indústria de petróleo com fontes de <b>energia</b> alternativas, como a eólica e a solar, à medida&nbsp;...";FOTOVOLTAICA & SHELL;saudita investe, como arábia, transformação luz, energia solar;energia;Positivo;5,2;energia - 2024-06-02
5;A Arena do Grêmio inicia a recuperação após as enchentes - NP Expresso;https://www.google.com/url?rct=j&sa=t&url=https://npexpresso.com.br/esportes/a-arena-do-gremio-inicia-a-recuperacao-apos-as-enchentes&ct=ga&cd=CAIyHWJhM2UyOTQ5Y2JmZmY4NmM6Y29tLmJyOnB0OkJS&usg=AOvVaw0geE1DzmXpPCZYhsbeX32U;2024-06-02;"O sistema de alimentação da <b>subestação</b> de <b>energia</b>, situado subterraneamente, sofreu um impacto grave. A Arena, localizada no bairro Humaitá, um&nbsp;...";SUBESTAÇÃO & ENERGIA;inicia recuperação, recuperação após, grêmio inicia, após enchentes;energia;Neutro;4,8;energia - 2024-06-02
6;01 Jun 2024 | redação Restauração das estradas fica pronta até dezembro, prevê governadora;https://www.google.com/url?rct=j&sa=t&url=https://defato.com/politica/115171/restaurao-das-estradas-fica-pronta-at-dezembro-prev-governadora&ct=ga&cd=CAIyHTYyODYwYzVhMjY0ZGE4MmI6Y29tLmJyOnB0OkJS&usg=AOvVaw3feaUBBzJNVj-MbPd3lPyz;2024-06-02;As <b>obras</b> de restauração das rodovias estaduais do Rio Grande do Norte não vão se limitar aos R$ 400 milhões que estão sendo investidos agora.;RODOVIA & OBRAS;prevê governadora, 2024 redação, estradas fica, dezembro prevê;transporte;Neutro;4,8;transporte - 2024-06-02
7;Taxa do Sol: Lei 14.300 traz mudanças à <b>energia</b> solar no Brasil | Notícias de Campo Grande e MS;https://www.google.com/url?rct=j&sa=t&url=https://www.capitalnews.com.br/colunistas/tecnologia/taxa-do-sol-lei-14-300-traz-mudancas-a-energia-solar-no-brasil/404040&ct=ga&cd=CAIyHTIxYjBiOThjNDY0ZjBhNWI6Y29tLmJyOnB0OkJS&usg=AOvVaw2cacRcrzl6OaK6dStJ5BNT;2024-06-02;Representando 17,4% da matriz energética brasileira, a <b>energia</b> solar segue crescendo e bate novos recordes em 2024. Andree_Nery / iStock.;ENERGIA & FOTOVOLTAICA;solar brasil, taxa sol, energia solar, mudanças energia;energia;Neutro;4,8;energia - 2024-06-02
8;Taxa do Sol: Lei 14.300 traz mudanças à <b>energia</b> solar no Brasil | Notícias de Campo Grande e MS;https://www.google.com/url?rct=j&sa=t&url=https://www.capitalnews.com.br/colunistas/tecnologia/taxa-do-sol-lei-14-300-traz-mudancas-a-energia-solar-no-brasil/404040&ct=ga&cd=CAIyHTIxYjBiOThjNDY0ZjBhNWI6Y29tLmJyOnB0OkJS&usg=AOvVaw2cacRcrzl6OaK6dStJ5BNT;2024-06-02;Representando 17,4% da matriz energética brasileira, a <b>energia</b> solar segue crescendo e bate novos recordes em 2024. Andree_Nery / iStock.;FOTOVOLTAICA & SHELL;solar brasil, taxa sol, energia solar, mudanças energia;energia;Neutro;4,8;energia - 2024-06-02
9;Setor de carvão se mobiliza por mudanças no <b>leilão</b> de energia para ganhar espaço na concorrência;https://www.google.com/url?rct=j&sa=t&url=https://valor.globo.com/empresas/noticia/2024/06/01/setor-de-carvao-se-mobiliza-por-mudancas-no-leilao-de-energia-para-ganhar-espaco-na-concorrencia.ghtml&ct=ga&cd=CAIyHTgxOGJhYmRjYmYxNDYzZjU6Y29tLmJyOnB0OkJS&usg=AOvVaw22RKSDCaXmMUKqd5J8yXt3;2024-06-02;"... <b>leilão</b> permite a participação de todas as <b>usinas térmicas</b>. No entanto, na prática, a estrutura do <b>leilão</b> cria dificuldades específicas, como a&nbsp;...";USINA TÉRMICA & LEILÃO;por mudanças, mobiliza por, mudanças leilão, ganhar espaço;energia;Neutro;4,4;energia - 2024-06-02
10;Com novo plano para SP, Tarcísio é cobrado por '<b>ferrovias</b> de papel' no governo Bolsonaro;https://www.google.com/url?rct=j&sa=t&url=https://jornaldebrasilia.com.br/noticias/politica-e-poder/com-novo-plano-para-sp-tarcisio-e-cobrado-por-ferrovias-de-papel-no-governo-bolsonaro/&ct=ga&cd=CAIyHTQxZTU5YTBkNzViYjc5YzY6Y29tLmJyOnB0OkJS&usg=AOvVaw3HFKXGHa1vYpInsxQoxnFv;2024-06-02;"Lançado em 2021, programa federal não gerou novas <b>obras</b> até o momento; governo de SP diz que projetos são distintos.";FERROVIA & OBRAS;governo bolsonaro, por ferrovias, tarcísio cobrado, cobrado por;mineração;Neutro;3,6;mineração - 2024-06-02
